Genotype,Behavior,Treatment,class,Mouse,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N_pS6_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N
Control,S/C,Memantine,c-SC-m,364,0.285643727,0.466666667,0.319888047,2.479420481,3.7,0.273193144,0.194603434,4.765943741,0.244563827,1.317583697,0.329378925,0.342275042,0.305335304,0.313482948,0.846897144,0.818306011,1.662295082,1.217906787,0.473060067,0.73521465,0.303265485,0.400058574,0.193160622,1.085677475,2.419945355,1.187685216,0.258106077,0.293425428,0.722866718,0.205159922,0.349687191,2.204638179,0.683701188,0.467038866,0.432591456,0.824957555,0.579430995,0.369114257,0.562139219,0.326792041,0.295415959,0.37586434,0.453967132,0.171710349,0.972947761,0.145207342,1.754610545,0.271164225,0.314509592,0.892845032,0.098756906,0.137070675,0.172484953,0.126992201,0.162046908,0.187108656,0.177313536,0.100218341,0.202235929,0.0982827525,0.551104972,0.275713184,1.487695445,2.420305677,0.16615802,1.388443236,0.835808011,0.195984018,0.128613888,,0.110060189,0.465864144,0.124466951,,,1.091343025
Control,S/C,Memantine,c-SC-m,365,0.269843488,0.462939355,0.307015092,2.287379348,3.684531278,0.237968561,0.183424235,4.286193404,0.209019508,1.287783467,0.338177753,0.360043708,0.306501548,0.298124203,0.833985467,0.812690446,1.638904416,1.248952832,0.446070133,0.731493099,0.255157279,0.371517028,0.174045528,1.203441477,2.591503854,1.162036207,0.247256767,0.292465252,0.686502958,0.174762502,0.327222925,1.971141782,0.69046987,0.449644873,0.421234748,0.795847751,0.559096704,0.340375159,0.5593064655,0.328395752,0.291503633,0.361099184,0.354033874,0.183760079,1.009902391,0.140143328,1.608860648,0.292004954,0.337231969,0.892522296,0.12095063,0.1411653115,0.193957115,0.12618475,0.16653605,0.182597759,0.187833602,0.106588502,0.212325635,0.102443069,0.56279234,0.27384065,1.570714809,2.454661197,0.164941417,1.397896181,0.88723206,0.197804711,0.1487486555,,0.118644068,0.507243921,,0.209821043,,1.163785154
Control,S/C,Saline,c-SC-s,3422,0.298967507,0.453546911,0.314818165,2.389053592,3.738901602,0.243484225,0.187014175,3.610983982,0.196567506,1.31559694,0.332624221,0.312814645,0.320366133,0.28173128,0.882487426,0.791495199,1.638540479,1.303432494,0.413682523,0.826773455,0.272172066,0.385023898,0.180828465,1.103990878,2.080778032,0.984439359,0.233277747,0.260433295,0.623717218,0.162700229,0.387944769,1.966590389,0.857208238,0.568533333,0.597482838,0.904761905,0.625971651,0.421060629,0.6808369125,0.315605531,0.364761012,0.451948052,0.496796339,0.151668103,0.774035517,0.140424718,1.402571953,0.250336803,0.236299162,1.213349663,0.13637455,0.149421299,0.176852419,0.133920031,0.153901561,0.193508879,0.171664744,0.119583411,0.220820576,0.114885954,0.568547419,0.296982277,1.494887131,2.099500886,0.188966949,1.291754352,0.785300997,0.251730104,0.155342137,0.144297719,0.143539498,0.374930259,0.152941176,0.21024006,0.191304348,0.950141573
Control,S/C,Saline,c-SC-s,3423,0.268268516,0.506270154,0.338841474,2.788427087,4.926276988,0.266812865,0.20626581649999998,3.666965245,0.241280732,1.286718042,0.336844017,0.36203424,0.310695478,0.315562581,0.977248298,0.912111858,1.855456691,1.320682767,0.44143817,0.865988742,0.2862197385,0.414200109,0.195834228,1.277499104,2.773557865,1.174847725,0.272438803,0.307416697,0.811357936,0.190257221,0.386672711,2.572912934,0.859701493,0.49845651,0.429506546,0.834574178,0.551845756,0.385524901,0.615073113,0.291628836,0.30893019,0.391078466,0.354748113,0.192594897,0.935397317,0.154125961,1.453024319,0.302688087,0.2913296,1.463417169,0.066722095,0.144342729,0.186863438,0.137744552,0.167152409,0.21367699,0.168134101,0.10833476,0.221810301,0.120876599,0.555624355,0.298384996,1.70794441,2.542118863,0.163082954,1.358449387,0.807397794,0.213466305,0.144980254,0.123986697,0.112353721,0.526446795,0.11744186,0.165891473,0.193424601,1.33880289
Control,S/C,Saline,c-SC-s,3424,0.340412435,0.509439616,0.325225435,2.364419821,3.551945599,0.245060337,0.201015727,2.769778682,0.214777302,1.4193927815,0.442963388,0.3401243145,0.28442148599999995,0.30108055,0.860826772,0.717451524,1.623005661,1.193503937,0.413340406,0.8082373615,0.338582677,0.398537838,0.192628993,1.152662358,2.255018013,1.10984252,0.266604723,0.2940025355,0.7276390699999999,0.190078585,0.362068966,2.111682964,0.973329338,0.47338267749999996,0.4400170035,0.7779459215,0.566142764,0.345713559,0.6065697125,0.293363223,0.303217626,0.369493557,0.34713098200000003,0.168283482,0.950445986,0.153462679,1.327137187,0.290279627,0.305151556,1.35530787,0.084273481,0.15201953,0.183373754,0.13971794,0.164030858,0.193702092,0.20002959,0.120057859,0.196411581,0.116949609,0.561003608,0.29285831,1.50503033,2.438909774,0.17694326,1.323143684,0.877148971,0.227643493,,,0.123555797,0.476417018,0.160391464,,,1.208780881
Control,S/C,Saline,c-SC-s,3481,0.287488358,0.472821204,0.311025145,2.510828977,3.934652726,0.231622927,0.183159074,2.947162061,0.218073189,1.180346087,0.326145553,0.326663564,0.288974855,0.2730259,0.886073501,0.817961165,1.747012696,1.168258299,0.401627034,0.74681713,0.256691474,0.366684792,0.177369439,1.139096341,2.304331591,1.021145975,0.250870406,0.273135669,0.71004481,0.172143391,0.372442019,2.402165795,1.063666916,0.502182285,0.464712472,0.806635974,0.6034354,0.353865693,0.593449239,0.292740926,0.302477184,0.402910414,0.34290593,0.179587605,1.007757244,0.146801408,1.174625038,0.296184928,0.287338031,1.261554943,0.111111111,0.158683172,0.180950216,0.13457604,0.168171558,0.202600958,0.172065325,0.118964204,0.294495413,0.167151163,0.603474529,0.299965442,1.707206183,2.59375476,0.171884869,1.296602388,0.828178046,0.26084995,0.168183389,,0.142117289,0.518632139,0.15662788,0.218115446,,1.185213127
Control,S/C,Saline,c-SC-s,3488,0.272581792,0.42941704,0.288584637,2.265253928,3.187264574,0.18899293849999999,0.158948582,2.829480797,0.198079659,1.4101469115,0.319282511,0.262148338,0.255151515,0.23153753,0.815611664,0.737375533,1.607782243,0.998923767,0.378630705,0.770411204,0.247881356,0.352542373,0.150313901,1.191210762,1.990576102,0.900269058,0.210816448,0.226188341,0.580197296,0.147094431,0.346547085,2.038026906,1.012787724,0.481086904,0.50798722,0.728993776,0.540072639,0.363232323,0.592171415,0.27747187,0.290583136,0.38328646,0.363680387,0.158022483,0.841208862,0.135349529,1.00369155,0.241007194,0.275950668,0.969266231,0.11369443,0.147454123,0.159967186,0.123546136,0.15238827,0.174629535,0.176513912,0.11082996,0.240904419,0.111267246,0.565711948,0.272506083,1.321038961,2.196601942,0.167268274,1.1106229,0.736030168,0.251636661,0.142138112,0.125307629,0.135740812,0.409581646,0.140475575,0.197854743,0.189268792,0.914581624
Control,S/C,Saline,c-SC-s,3489,0.235487662,0.441642651,0.297936893,2.528499001,3.878764918,0.246033263,0.19424,2.601032307,0.231962397,1.444027224,0.305127399,0.337714152,0.281856796,0.297490126,0.880163305,0.724947907,1.634677882,1.188040346,0.44784,0.786023055,0.29009009,0.389985985,0.17568,1.086935639,2.516330451,1.082202256,0.251703878,0.293488518,0.76243932,0.199199199,0.337896254,2.328290106,0.969963592,0.443871359,0.401079559,0.756724304,0.556356356,0.351820556,0.545402409,0.278730905,0.286882668,0.369334767,0.35776,0.165907456,0.972345542,0.142816622,1.2624461,0.272638181,0.298593879,0.926694329,0.064253177,0.135578998,0.167934465,0.127121123,0.154620495,0.195756413,0.142540769,0.102238187,0.198507899,0.102209618,0.4975505,0.264573148,1.495674372,2.461915308,0.152436216,1.279819471,0.780728987,0.202801627,0.126535986,0.110126433,0.106995111,0.476009362,0.109771664,0.154588002,0.194691084,1.299673805
Control,S/C,Saline,c-SC-s,3490,0.287589325,0.481697535,0.323465072,2.475134899,4.349715619,0.229149115,0.184161752,3.303485489,0.221962958,1.259543735,0.351028146,0.298237686,0.289631034,0.275051975,0.902738291,0.741432113,1.725535949,1.222859108,0.433857282,0.844313395,0.264333782,0.358936146,0.168150488,1.410237713,2.730786058,1.093918623,0.245368278,0.292024401,0.699577075,0.161726565,0.357590783,2.360653347,0.798308298,0.433134024,0.422050459,0.760872665,0.532873927,0.351062313,0.572407758,0.281610055,0.283214234,0.371167831,0.269651451,0.177855275,1.022938019,0.153772026,1.178006132,0.291885518,0.324740614,0.93378884,0.120313862,0.150177724,0.197907585,0.134933612,0.159019422,0.199163898,0.173494491,0.112610132,0.210222319,0.11306022,0.615359932,0.276985743,1.601668628,2.346589749,0.165060573,1.303400041,0.82024709,0.234143601,0.152528833,0.13483053,0.132581172,0.542053034,0.147022776,0.184807025,0.209871353,1.367022618
Control,S/C,Saline,c-SC-s,3516,0.212589228,0.332007003,0.242877606,1.873468088,2.991723699,0.188578845,0.154929577,3.010520275,0.187309424,0.895256597,0.232593726,0.247045491,0.240331052,0.217884463,0.761408599,0.656374343,1.300015916,0.773871576,0.423429319,0.667833837,0.1902105185,0.29799268,0.163579905,1.081489734,1.681362406,0.696800891,0.191628203,0.200541143,0.517888943,0.136857201,0.292217094,1.782906255,0.628784199,0.406678959,0.41813602,0.677888153,0.476683113,0.307723827,0.532459123,0.26145378,0.277032272,0.336188077,0.336229853,0.169901368,0.899569746,0.152740758,1.247216036,0.250666358,0.52571996,0.912388458,1.076563246,0.183310688,0.166242444,0.13306852,0.175824176,0.173120471,0.47429689,0.133619191,0.248387581,0.12732989,0.665618684,0.280477327,1.509639697,2.349637681,0.176070856,1.151662484,0.727538623,0.227388235,0.161118659,0.145323908,0.137223529,0.409759964,,0.225547835,0.346058837,1.060235507
Control,S/C,Saline,c-SC-s,J2292,0.252385846,0.385964912,0.355444872,2.31212647,4.542064308,0.235932301,0.178241081,5.303626487,0.197222222,1.040780827,0.299358974,0.313808283,0.356410256,0.283034953,0.844221106,0.72361809,1.600559482,1.737923947,0.453687899,0.726295642,0.229681979,0.36529144,0.186099162,1.0670661,2.328439289,1.093544646,0.252350427,0.292654714,0.760340162,0.15488276,0.3965841145,,0.464237517,0.509176332,0.480418139,0.779983829,0.565262076,0.395170789,0.615995007,0.371908127,0.331669358,0.40041326,0.549175501,0.188591022,0.827177201,0.149623588,2.208740296,0.290680473,0.416091593,1.37928616,0.370138018,0.156398574,0.189695734,0.13199005,0.166550868,0.192322854,0.277197631,0.121695792,0.239011845,0.164287503,0.551901743,0.316342535,1.421446384,2.2862027215,0.160006368,1.316264115,0.873666876,0.236630851,0.152293231,0.122980887,0.123424318,0.518070371,0.208751568,0.186037255,0.188441029,1.200942928
Ts65Dn,C/S,Memantine,t-CS-m,3414,0.668977725,0.916962494,0.324364552,2.291340906,3.627102948,0.209445902,0.170788417,2.222619375,0.209940828,1.758415388,0.885161438,0.256168204,0.320685547,0.251968504,0.743628641,0.428853155,1.411483254,1.587281988,0.44721777,0.567050971,0.639759222,0.320317528,0.179360652,0.940078883,2.41009415,1.417472294,0.250648432,0.267660151,0.761074029,0.170656071,0.449196826,2.221632282,0.313273662,0.367566748,0.298396605,0.629585799,0.524423544,0.32659361,0.494484227,0.28469131,0.252332889,0.355456089,0.38215774,0.158707188,0.820476054,0.154273136,1.648432224,0.279835391,0.344910757,0.853191693,0.154760333,0.137357095,0.171111748,0.102067465,0.14211099,0.182104961,0.184610968,0.102460203,0.213608958,0.111302517,0.435813035,0.266197644,1.25200193,2.458176556,0.115575397,0.962948668,0.887360789,0.197491558,0.116226923,,,0.367924528,0.120861051,0.118572118,0.140152339,1.750795948
Ts65Dn,C/S,Memantine,t-CS-m,3416,0.511217949,0.671428571,0.307472632,2.251920123,3.500682335,0.200075263,0.163002274,2.247619048,0.192925238,1.367216117,0.574862637,0.241183624,0.327093596,0.2420550775,0.779681577,0.415516421,1.404915515,1.654450262,0.440285205,0.554662623,0.448260073,0.307586207,0.168133382,0.984485407,2.26611069,1.310668498,0.240295567,0.2641395,0.705128205,0.15447898300000001,0.429487179,2.050844854,0.298746629,0.377446061,0.312812737,0.617536377,0.521951831,0.312957875,0.525102459,0.28386854,0.253456221,0.368360806,0.374222896,0.178448005,0.741363308,0.169888476,1.881303496,0.292180313,0.473154999,0.796075535,0.19189788,0.153813693,0.179343813,0.109337293,0.149794749,0.186668022,0.178816331,0.119418377,0.212144623,0.11245912,0.496318227,0.288173711,1.328169778,2.384091085,0.129215221,1.075001593,0.902354399,0.223953445,,0.12058234,0.108661251,0.404306405,0.155371389,,,1.648240447
Ts65Dn,C/S,Memantine,t-CS-m,3417,0.418160377,0.540952381,0.251415094,1.603571429,2.509409353,0.198253003,0.158633599,2.263089249,0.185714286,1.212968139,0.612285151,0.264545313,0.231660232,0.22697514549999998,0.588122605,0.541324576,1.173840134,0.778670048,0.35066145,0.474285714,0.365714286,0.29870535,0.165444015,0.730016769,1.917085895,0.756603774,0.205116207,0.223200414,0.546332046,0.138065959,0.389150943,1.481460779,0.275130208,0.348262548,0.300912987,0.624707534,0.533926065,0.25534238,0.421307128,0.331428571,0.247284453,0.328768829,0.16969112,0.17122871,1.087439173,0.163810102,1.00243309,0.308481361,0.411648418,0.678901866,0.183527984,0.164258856,0.164835165,0.122146528,0.156819301,0.165248367,0.178571429,0.12566792,0.267335004,0.153861625,0.627154111,0.282928339,1.81480358,2.315276273,0.166236918,1.140603671,0.776137271,0.239963504,,0.178832117,0.140201871,0.428527981,,,,1.516119221
Ts65Dn,C/S,Memantine,t-CS-m,3429,0.682577566,0.741792369,0.25594841,1.755392484,2.729597509,0.187888199,0.15924506,1.953746942,0.179520248,1.567191127,0.967613132,0.262316224,0.232031943,0.210140093,0.678875419,0.556566105,1.276628864,0.929236912,0.332221481,0.531687792,0.527169714,0.298289738,0.149733807,0.781632199,2.046362023,1.011716207,0.217298736,0.2243111,0.49299533,0.142496494,0.417203193,1.563664596,0.289929015,0.428571429,0.393522626,0.689687292,0.602733782,0.335310807,0.491707984,0.368218085,0.277506655,0.388696348,0.195511994,0.16200911,1.062744618,0.142399699,0.668841561,0.252178242,0.445572407,0.767245597,0.087307279,0.149296208,0.166340509,0.108457466,0.140195622,0.190693094,0.200398307,0.113963743,0.224559687,0.116090114,0.566144262,0.249681529,1.478466517,1.963918787,0.142969133,1.015269825,0.80742256,0.229905392,0.143266119,0.128424658,0.133138133,0.330854344,0.128951954,0.180528376,0.192047273,1.450695556
Ts65Dn,C/S,Memantine,t-CS-m,3504,0.713779191,0.905093237,0.274184316,2.078207626,3.014472586,0.175048481,0.143531769,2.136932925,0.170052881,1.682716393,0.93307529,0.210664479,0.263985527,0.205638237,0.727525745,0.376983023,1.270247704,1.224325077,0.426678445,0.4937298,0.621764542,0.264959644,0.153198653,0.870860006,1.794461453,1.325076538,0.189674367,0.205638237,0.590036181,0.128744345,0.374733388,1.905371556,0.266413987,0.359167334,0.373748975,0.589991797,0.459551243,0.308884095,0.458070075,0.298870381,0.262428204,0.369483183,0.396465349,0.158254034,0.867707133,0.168050016,1.519220698,0.254344228,0.485492825,0.908047166,0.212660323,0.158811312,0.172792929,0.106839845,0.145963229,0.175396714,0.218068536,0.11679182,0.25362019,0.122569301,0.485005998,0.281879918,1.423520535,2.187702943,0.13829127,0.96145386,0.938988897,0.215035109,0.140567718,0.113614315,0.123021583,0.328886404,0.155903936,0.157703428,0.169304556,1.541636116
Ts65Dn,C/S,Memantine,t-CS-m,3505,0.784335982,0.936297099,0.36123723,2.42068672,4.383087401,0.229505448,0.186861521,2.300082743,0.218874292,1.666430193,0.913127127,0.301463944,0.341657208,0.285888928,0.851589103,0.509222474,1.632519864,1.851163451,0.509340726,0.679909194,0.599318956,0.370012753,0.197902856,1.149971623,2.752642993,1.597190692,0.265168539,0.29483066,0.777951192,0.179775281,0.450482406,2.384364359,0.328501572,0.4055666,0.309639564,0.725312145,0.592903607,0.366628831,0.52922815,0.366708838,0.297956867,0.421679909,0.271708286,0.18102253,0.958737436,0.190140845,1.747046376,0.319572905,0.418621054,1.068065597,0.08975026,0.153485952,0.183795494,0.103119584,0.146895595,0.182235702,0.184876211,0.110976533,0.208786725,0.114024573,0.434577304,0.260813733,1.550034686,2.104974396,0.119836204,1.085202469,0.929529539,0.179131759,0.133975026,0.103537981,0.105272286,0.423452366,0.095921,0.133084427,0.15461325,1.898183615
Ts65Dn,C/S,Memantine,t-CS-m,3522,0.570857286,0.772761194,0.326418395,2.269182704,3.996295839,0.216693726,0.189292179,6.113647216,0.206402696,1.548462773,0.663046626,0.312631189,0.386557964,0.28021607,0.792788879,0.620207027,1.480973903,2.030497592,0.522379356,0.610097476,0.509000989,0.391159379,0.197879859,1.182594845,2.326578218,1.309672582,0.257787939,0.265062637,0.735881842,0.184533228,0.449247671,2.164700927,0.325703455,0.381899,0.332462687,0.634354954,0.579726368,0.333293528,0.549677573,0.371393035,0.307141151,0.40498827,0.519403417,0.17731226,0.792594681,0.192842632,2.042947091,0.294398204,0.586926026,1.144180791,0.339451242,0.164028447,0.173742652,0.110937063,0.15009895,0.163142562,0.190304042,0.127231638,0.19760591,0.116240267,0.459833536,0.278993007,1.216954023,2.072173668,0.134986226,1.173665014,0.836048023,0.197035943,0.158047321,0.124860957,0.117710522,0.474516039,0.178178743,0.157119021,0.212855935,1.631082846
Ts65Dn,C/S,Memantine,t-CS-m,361,0.430107527,0.598451863,0.351439258,2.478810879,4.521710847,0.239638768,0.186905338,3.71008322,0.218940162,1.221254636,0.605139047,0.342819971,0.375711575,0.276890824,0.886464263,0.839025933,1.692307692,2.336673733,0.521206257,0.618448637,0.390466531,0.350270681,0.183111954,1.083857442,2.533364959,1.401802657,0.281067014,0.292778289,0.838251895,0.173308033,0.411290323,2.268817204,0.325436983,0.456071757,0.377104703,0.73070758,0.549442191,0.347048301,0.559277931,0.360888482,0.300211416,0.379032258,0.480565946,0.182667029,0.800704353,0.16502994,2.242193938,0.321765406,0.371497006,1.614994108,0.130450548,0.156787131,0.194853951,0.112977513,0.148861434,0.179098722,0.150484997,0.120041869,0.219851662,0.119402985,0.487240918,0.312594382,1.406581452,2.390807724,0.138700027,1.224705527,0.923724092,0.228290437,0.161816698,0.126873758,0.110343866,0.501053017,0.123984107,0.160791136,0.168502799,1.93776
Ts65Dn,C/S,Memantine,t-CS-m,363,0.666568135,0.907500902,0.331990794,2.292778321,3.470664446,0.245305164,0.186377938,5.416006909,0.21971831,1.598356808,0.824556502,0.318568623,0.404670411,0.265957447,0.810989643,0.637239838,1.477184396,2.666762631,0.594835681,0.576058109,0.611910242,0.352326001,0.185114866,1.087543957,1.954099574,1.311331641,0.256339071,0.275160301,0.718727508,0.180475421,0.502498612,2.034362341,0.326855451,0.43179715,0.394780677,0.707199704,0.60818064,0.337193848,0.554321673,0.369794559,0.290209143,0.438460115,0.93337035,0.181637914,0.906209249,0.161314985,3.10668253,0.309940454,0.635971512,1.204433745,0.311620067,0.16116208,0.16981801,0.104412829,0.148835229,0.182431093,0.240250532,0.119968035,0.243472887,0.142874367,0.477428504,0.284489418,1.545575115,2.133553092,0.135950455,1.1984698809999998,0.939139683,0.221364842,0.174508041,0.126261113,0.121082885,0.444805697,0.186496133,0.183819155,0.202260559,1.556887424
Ts65Dn,C/S,Saline,t-CS-s,18899,0.404483431,0.591861598,0.295107632,2.008023483,3.473196881,0.276803119,0.192828307,2.55747319,0.205653021,1.555635063,0.581613058,0.351411846,0.299463327,0.301466158,0.730345334,0.695107632,1.485623782,1.245126706,0.423952976,0.656265002,0.429428709,0.395064289,0.1847781,1.013888889,2.736354776,0.984637542,0.258686483,0.288706434,0.688109162,0.180242223,0.407069971,1.87962963,0.353821138,0.438822066,0.364428664,0.740278445,0.76307295,0.369152047,0.560824397,0.420751342,0.333089669,0.469471624,0.235804438,0.173484622,0.921767692,0.172914059,1.372811406,0.311863702,0.624766258,1.251387176,0.198449288,0.199871936,0.188447953,0.121625675,0.156332454,0.164457229,0.19775897,0.151919616,0.147870426,0.103950617,0.487654321,0.33319363,1.370929382,2.041986828,0.176787916,1.269782024,0.66995998,0.224074074,0.189071265,0.177814273,,0.416419753,0.20438937,,0.269946011,1.327527744
Ts65Dn,C/S,Saline,t-CS-s,3476,0.438651138,0.700785232,0.300496593,2.129922624,3.277630211,0.239093676,0.17526209,4.144265759,0.23790276,1.29610343,0.593849043,0.360840474,0.407769665,0.277441996,0.743228602,0.859705062,1.539414617,2.438943048,0.534100247,0.572323232,0.369775506,0.345732854,0.179151702,1.178424339,2.319745395,1.125836366,0.239971175,0.282121271,0.731377757,0.162052117,0.434910201,2.001732302,0.313707946,0.387243422,0.323943662,0.741665042,0.563806444,0.289906943,0.487474747,0.354722997,0.271041202,0.393578935,0.471417023,0.212949135,1.062357481,0.183955069,2.905648774,0.319504687,0.61996273,0.925502943,0.30380635,0.169740674,0.193525834,0.112870672,0.153792817,0.210577176,0.230769231,0.125184578,0.206947332,0.129842748,0.511200914,0.307476061,1.910417637,2.219480331,0.14290667,1.245839965,0.861117102,0.241837572,0.167179127,0.127236167,0.123051682,0.489085239,0.193787603,0.164147352,0.214421677,1.760042098
Ts65Dn,C/S,Saline,t-CS-s,3483,0.435215054,0.680107527,0.279176201,1.979973118,3.070295699,0.178279098,0.147165794,2.291156279,0.19504644,1.258354505,0.479435484,0.239601561,0.286243877,0.212381279,0.701075269,0.459274194,1.270965137,1.768833576,0.423369277,0.566132663,0.328184003,0.315307161,0.154394939,1.169998676,2.079435484,1.161424731,0.20812922,0.215808288,0.622311828,0.139156013,0.421505376,1.844354839,0.283198729,0.263531296,0.276976036,0.28844086,0.247804878,0.305108715,0.266953293,0.311787749,0.253464988,0.383547009,0.416294771,0.202014011,0.907347966,0.15849387,2.630346144,0.295393424,0.635985079,0.870471144,0.470505122,0.1681530785,0.185998091,0.104710679,0.143026355,0.166999219,0.2522077,0.12732049,0.23178634,0.11762628,0.490992582,0.311701968,1.337121541,1.997397415,0.156174506,1.127790608,0.843262208,0.224950117,0.150774478,0.119829284,0.126984127,0.367936375,0.217250438,0.162730228,0.198166739,1.38657066
Ts65Dn,C/S,Saline,t-CS-s,3498,0.818823529,1.004991948,0.287444021,2.101449275,3.346491956,0.19106081,0.156056452,2.040475734,0.207415254,2.02173913,1.158235197,0.267216574,0.265787739,0.223169865,0.712721417,0.549344833,1.489371981,1.355560792,0.360386473,0.620832642,0.749467364,0.348126673,0.165355841,1.104669887,2.693979101,1.327697262,0.223917023,0.244580584,0.681991525,0.166644693,0.405932203,1.948148148,0.29736098,0.362865221,0.260481713,0.635294118,0.513931259,0.307731092,0.453325198,0.343193277,0.242591517,0.346386555,0.1529375135,0.209493671,1.053164287,0.172839506,0.957067511,0.302887804,0.613477606,0.859433061,0.091139241,0.158544304,0.177832042,0.113059818,0.147823364,0.173913043,0.239662447,0.121987472,0.20312286,0.115189873,0.438607595,0.256978479,1.329113924,2.375771971,0.141208296,1.149221685,0.813368262,0.222885392,0.110096613,,0.102386533,0.370950127,0.10217345,0.145981527,0.156810702,1.583348482
Ts65Dn,C/S,Saline,t-CS-s,50810B,0.554878049,0.748555841,0.278250901,2.149200131,3.671534018,0.183087291,0.14478067649999998,1.81000899,0.171798231,1.577307838,0.76330395,0.254978779,0.26252866,0.197186295,0.830822142,0.5813543,1.522928267,1.278087127,0.32763754,0.646904684,0.410088438,0.318564218,0.138137539,1.098844673,2.577628562,1.227481166,0.201113659,0.219450424,0.61165524,0.120209385,0.434490665,1.88224697,0.287300399,0.430082843,0.323424939,0.689375712,0.592075057,0.334813084,0.508184882,0.386936523,0.273261508,0.420284431,0.154587006,0.201893026,1.078319091,0.159363909,0.759090909,0.278565765,0.561925172,1.602569668,0.076102604,0.159141474,0.162774546,0.11241984,0.150885004,0.142959193,0.215465667,0.123366231,0.226764162,0.116448137,0.514461458,0.275570434,1.597216104,2.104043697,0.144658261,1.052587692,0.826783034,0.195577482,0.124488124,0.109741941,0.12711039,0.365096218,0.101231499,0.153853023,0.145138071,1.416633948
Ts65Dn,C/S,Saline,t-CS-s,50810C,0.466737816,0.819374851,0.341565259,2.45241444,3.868289191,0.211204876,0.166014467,2.066552636,0.206868261,1.405766526,0.58577905,0.337424437,0.332478476,0.266165964,0.786957318,0.669887855,1.677284658,2.291296128,0.429207689,0.708780721,0.377976666,0.342209926,0.162117604,1.386457963,3.413731768,1.426487306,0.244603629,0.297490383,0.82438041,0.166692583,0.490857947,2.381003202,0.35154793,0.410292897,0.300191022,0.684204247,0.576712002,0.356716774,0.497687656,0.369145025,0.268364169,0.413456928,0.220799241,0.228023084,1.04234331,0.170864947,2.053606329,0.353733471,0.481087712,1.748959871,0.10243304,0.14295175,0.186216734,0.108566755,0.160804775,0.141987158,0.205533858,0.114820435,0.191188695,0.118776003,0.460505691,0.293191576,1.506710509,2.264595356,0.154274594,1.242959641,0.93399441,0.201118577,0.129542596,0.100473037,0.109498832,0.544449593,0.097652694,0.133911254,0.148699552,1.814629111
Ts65Dn,C/S,Saline,t-CS-s,50810E,0.489535799,0.704956727,0.305586153,2.233034571,3.695582586,0.208864266,0.164594544,2.580995137,0.207912143,1.329534663,0.55436664,0.297293927,0.314529915,0.25982906,0.725023084,0.552016645,1.540965208,1.972975376,0.437796771,0.611664075,0.397910731,0.338838374,0.159086872,1.069708891,2.713219285,1.342012927,0.243277849,0.27804878,0.753026332,0.159913057,0.476152369,2.062259923,0.305232107,0.388512982,0.294099135,0.6654105965,0.555365474,0.308103855,0.489838557,0.326829268,0.261200549,0.388827695,0.327255461,0.204148986,0.820831751,0.176028519,2.160518599,0.349761303,0.538739081,1.412804878,0.279718952,0.166808109,0.202752036,0.108777339,0.155433867,0.141543441,0.206228637,0.132019704,0.198252943,0.122768705,0.493049705,0.315134827,1.410653247,2.26024993,0.155775782,1.238533609,0.95097561,0.233502538,0.159306943,0.129794911,0.121570657,0.525401168,0.182035995,0.171264621,0.204958434,1.693505507
Ts65Dn,S/C,Memantine,t-SC-m,293,0.259435919,0.518396846,0.296144472,2.24195138,3.432490145,0.259162304,0.193240901,3.760676741,0.239527167,1.189547905,0.303815844,0.329000812,0.286456908,0.291410288,0.847742818,0.819973719,1.576872536,0.951868168,0.488508892,0.679301009,0.267393939,0.370748299,0.193717277,1.121879106,2.317343775,0.977484092,0.232328828,0.26171713,0.652145538,0.18467387,0.369763584,2.15390933,1.075067684,0.405226047,0.361954625,0.769808028,0.588132635,0.331190377,0.540218878,0.328097731,0.320199088,0.395686437,0.345706871,0.17812142,0.948960778,0.163377439,1.594451894,0.269482646,0.516415094,1.17490566,0.84114053,0.16584436,0.179098223,0.13530712,0.181206549,0.195335277,0.384951783,0.124355237,0.193196878,0.118972864,0.608432384,0.289501004,1.746626064,2.438743385,0.155794434,1.386833466,0.762169832,0.204728593,0.136832793,0.117290872,0.105111674,0.48938308,0.429506826,0.161256834,0.294801944,1.268831515
